timestamp	commit	train_accuracy	validation_accuracy	graded	status	train_oracle_time_s	train_ingestor_time_s	description
2026-03-27T14:31:16	300e804	0.5556	N/A	90	BASELINE	112.870	48.222	baseline: chairs=0.1667, people=0.7333, doors=0.7667
2026-03-27T21:35:09	1f0c3f7	0.7444	N/A	90	KEPT	102.263	43.102	iter1: sofas=chairs, glass booths, avoid floor mat FPs (chairs=0.6333, people=0.7667, doors=0.8333)
2026-03-27T21:42:00	c1fe3d2	0.5444	N/A	90	REVERTED	147.549	35.686	iter2: booth doors+sectional counting caused regression (chairs=0.3667, doors=0.5667)
2026-03-27T21:52:00	a885881	0.7778	N/A	90	KEPT	103.794	38.953	iter3: critical glass booth scanning + people in booths (chairs=0.6667, people=0.9000, doors=0.7667)
2026-03-27T22:03:00	d706d5d	0.7000	N/A	90	REVERTED	123.731	41.612	iter4: sofa section counting caused regression (chairs=0.5000)
2026-03-27T22:14:00	7e58824	0.7333	N/A	90	REVERTED	98.686	37.326	iter5: removing glass keyword hurt chairs+people despite fixing doors (doors=0.8667)
2026-03-27T22:22:00	98001c4	0.7444	N/A	90	REVERTED	109.165	39.339	iter6: door guidance (glass partitions not doors) hurt all tasks (doors=0.7000)
2026-03-27T22:30:00	aab28a1	0.7356	N/A	87	REVERTED	103.913	38.892	iter7: background people guidance caused regression (people=0.8621)
2026-03-27T22:38:00	3ef127a	0.7778	N/A	90	REVERTED	113.436	39.208	iter8: remove section guidance (tie - doors+0.04 but people-0.03)
2026-03-27T22:47:00	4fafc57	0.7222	N/A	90	REVERTED	114.422	38.339	iter9: door example (glass!=door) collapsed doors (chairs=0.7000 doors=0.6333)
2026-03-27T22:56:00	f7a9a95	0.7667	N/A	90	REVERTED	115.490	33.420	iter10: study pod example hurt people (chairs=0.6667 people=0.8333 doors=0.8000)
2026-03-27T23:07:00	23c796c	0.6556	N/A	90	REVERTED	148.395	36.654	iter11: background person example major regression (chairs=0.5667 doors=0.6000)
2026-03-27T23:16:00	e0dc96f	0.7556	N/A	90	REVERTED	96.480	35.299	iter12: elevated booth to top-level CRITICAL (doors=0.8667 but chairs=0.5333)
2026-03-27T23:25:00	afe6821	0.7444	N/A	90	REVERTED	126.778	35.921	iter13: enumeration requirement hurt people (chairs=0.6333 people=0.8333)
2026-03-27T23:34:00	2ce24b6	0.7222	N/A	90	REVERTED	115.554	36.219	iter14: removing glass from chair instr hurt doors (doors=0.6667 - glass helps door detection)
2026-03-27T23:43:00	3033d2b	0.7667	N/A	90	REVERTED	114.200	37.118	iter15: bg door example improved doors (0.8333) but hurt chairs+people (train=0.7667)